Strain,Species,Species complex,Bioproject,Biosample,GenBank Accession
NRRL13308,Fusarium acutatum,fujikuroi-African,PRJNA565749,SAMN13683610,JAADJF000000000
NRRL31653,Fusarium agapanthi,fujikuroi-American,PRJNA312368,SAMN04534733,LUFC00000000
NRRL22152,Fusarium albidum,albidum,PRJNA416189,SAMN14841531,JABFEP000000000
NRRL20459,Fusarium albosuccineum,decemcellulare,PRJNA596284,SAMN13683636,JAADYS000000000
NRRL62606,Fusarium floridanum,solani,PRJNA389173,SAMN07244158,NKCL00000000
NRRL20438,Fusarium ambrosium,solani,PRJNA389173,SAMN07200640,NIZV00000000
NRRL25385,Fusarium anguioides,concolor,PRJNA485357,SAMN09785227,JAALXK000000000
NRRL06227,Fusarium armeniacum,sambucinum,PRJNA436741,SAMN14842727,JABFEC000000000
NNRL26156,Fusarium asiaticum,sambucinum,PRJNA436741,SAMN14841702,JABFEQ000000000
NRRL54939,Fusarium avenaceum,tricinctum,PRJNA253730,SAMN02887289,JPYM00000000
NRRL25410,Fusarium aywerte,chlamydosporum,PRJNA596283,SAMN13683588,JABCQV000000000
NRRL25174,Fusarium beomiforme,burgessii,PRJNA416189,SAMN07943531,PVQB00000000
NRRL13371,Fusarium buharicum,buharicum,PRJNA596282,SAMN14416171,JAATHB000000000
NRRL36148,Fusarium buxicola,buxicola,PRJNA614465,SAMN14428257,JAAVUK000000000
NRRL13381,Fusarium camptoceras,incarnatum-equiseti,PRJNA436969,SAMN08631406,QGED00000000
NRRL13829,Fusarium compactum,sambucinum,PRJNA436741,SAMN14841711,JABFET000000000
NRRL13444,Fusarium chlamydosporum,chlamydosporum,PRJNA596283,SAMN14424782,JAAVUD00000000
NRRL25331,Fusarium circinatum,fujikuroi-American,PRJNA565749,SAMN13683613,JAAQPE000000000
NRRL28387,Fusarium commune,nisikadoi,PRJNA565749,SAMN14841710,JABFES000000000
NRRL13459,Fusarium concolor,concolor,PRJNA485357,SAMN09785230,JABCJY000000000
NRRL66286,Fusarium continuum,torreyae,PRJNA488083,SAMN09917921,JABCKB000000000
NRRL25475,Fusarium culmorum,sambucinum,PRJNA436741,SAMN14842241,JABFEU000000000
NRRL53998,Fusarium cyanostomum,buxicola,PRJNA614465,SAMN14428258,JABCKW000000000
NRRL13412,Fusarium decemcellulare,decemcellulare,PRJNA596284,SAMN13683637,JAAGWO000000000
NRRL36160,Fusarium delphinioides,dimerum,,,
NRRL20691,Fusarium dimerum,dimerum,PRJNA416189,SAMN14842255,JABGLY000000000
NRRL29976,Fusarium domesticum,dimerum,PRJNA416189,SAMN14842271,JABFEV000000000
NRRL66338,Fusarium equiseti,incarnatum-equiseti,PRJNA436969,SAMN08631418,QGEB00000000
NRRL62626,Fusarium euwallaceae,solani,PRJNA341909,SAMN05730138,MIKF00000000
NRRL43529,Fusarium falciforme,solani,PRJNA511036,SAMN14069558,JABEEK000000000
NRRL38302,Fusarium foetens,oxysporum,PRJNA596293,SAMN14884613,JABFMM000000000
NRRL5538,Fusarium fujikuroi,fujikuroi–Asian,PRJEB185,SAMEA3724789,GCF_900079805.1
NRRL45417,Fusarium gaditjirrii,nisikadoi,PRJNA596290,SAMN13683626,JABFAI000000000
NRRL31084,Fusarium graminearum,sambucinum,PRJEB5475,SAMEA3283145,GCA_900044135.1
NRRL20692,Fusarium graminum,heterosporum,PRJNA596285,SAMN13683592,JAAGWP000000000
NRRL22945,Fusarium guttiforme,fujikuroi–American,PRJNA565749,SAMN13683618,JAAQRL000000000
NRRL20693,Fusarium heterosporum,heterosporum,PRJNA596285,SAMN13683593,JAAGWQ000000000
NRRL29888,Fusarium hostae,redolens,PRJNA485357,SAMN13683632,JABCJX000000000
NRRL22090,Fusarium illudens,solani,PRJNA511036,SAMN14842333,JABFEX000000000
NRRL31160,Fusarium irregulare,incarnatum-equiseti,PRJNA436969,SAMN08631419,QGEA00000000
NRRL53436,Fusarium langsethiae,sambucinum,PRJNA271560,SAMN03274931,JXCE00000000.1
NRRL13622,Fusarium lateritium,lateritium,PRJNA596286,SAMN14425274,JAAVTZ000000000
NRRL13368,Fusarium longipes-1,sambucinum,PRJNA436741,SAMN14842422,JABFEZ000000000
NRRL13317,Fusarium longipes-4,sambucinum,PRJNA436741,SAMN14842407,JABFEY000000000
NRRL13374,Fusarium longipes-2,sambucinum,PRJNA436741,SAMN15508577,GCA_013623335.1
NRRL36168,Fusarium lunatum,dimerum,,,
