Strain,Species,Species complex,Bioproject,Biosample,GenBank Accession
NRRL54252,Fusarium lyarnte,nisikadoi,PRJNA596290,SAMN14424976,JAAVUB000000000
NRRL25226,Fusarium mangiferae,fujikuroi–Asian,PRJNA565749,SAMN14899004,JABSTF000000000
NRRL26231,Fusarium miscanthi,nisikadoi,PRJNA596290,SAMN14425011,JAAVUA000000000
NRRL20689,Fusarium nectrioides,dimerum,,,
NRRL13338,Fusarium nelsonii,chlamydosporum,PRJNA596283,SAMN14424824,JAAVUC000000000
NRRL54600,Fusarium nematophilum,albidum,PRJNA416189,SAMN14842700,JABFFA000000000
NRRL22166,Fusarium neocosmosporiellum,solani,PRJNA511036,SAMN10622323,SSHR00000000
NRRL22436,Fusarium neocosmosporiellum,solani,,,
NRRL66241,Fusarium newnesense,newnesense,PRJNA416189,SAMN13683628,JABCJW000000000
NRRL25179,Fusarium nisikadoi,nisikadoi,PRJNA565749,SAMN14842515,JABFFB000000000
NRRL36452,Fusarium nurragi,not assigned,PRJNA596294,SAMN13683594,JAALXI000000000
NRRL34936,Fusarium oxysporum,oxysporum,PRJNA18813,SAMN02953675,AAXH00000000
NRRL32931,Fusarium oxysporum,oxysporum,PRJNA67067,SAMN02981331,AFML00000000
NRRL20711,Fusarium penzigii,dimerum,PRJNA416189,SAMN14842519,JABFFC000000000
NRRL22389,Fusarium phaseoli,solani,,,
NRRL22632,Fusarium plagianthi,solani,,,
NRRL26941,Fusarium poae,sambucinum,PRJNA436741,SAMN14842520,JABFFD000000000
NRRL62905,Fusarium proliferatum,fujikuroi-Asian,PRJEB9886,SAMEA3862492,GCA_900029915.1
NRRL39664,Fusarium praegraminearum,sambucinum,PRJNA317014,SAMN04595142,LXHY00000000
NRRL28062,Fusarium pseudograminearum,sambucinum,PRJNA267062,SAMN03177499,GCA_000974265.2
NRRL22901,Fusarium redolens,redolens,PRJNA485357,SAMN14425727,JAAVUJ000000000
NRRL22134,Fusarium rusci,not assigned,PRJNA596292,SAMN16366036,JADBHU000000000
NRRL66326,Fusarium sacchari,fujikuroi-Asian,PRJNA565749,SAMN14906363,JABSTH000000000
NRRL13708,Fusarium sambucinum,sambucinum,PRJNA436741,SAMN14424477,JAAVUG000000000
NRRL22178,Fusarium sambucinum,sambucinum,PRJNA511036,SAMN14069564,JAANQP000000000
NRRL20472,Fusarim sarcochroum,lateritium,PRJNA596286,SAMN13683633,JABEXW000000000
NRRL66328,Fusarium scirpi,incarnatum-equiseti,PRJNA436969,SAMN08631415,QHHJ00000000
NRRL36526,Fusarium setosum,not assigned,PRJNA416189,SAMN14842565,JABFFE000000000
NRRL45880,Fusarium vanettenii,solani,PRJNA16586,SAMN02746079,ACJF00000000
NRRL62590,Fusarium sp. (AF-6),solani,PRJNA389173,SAMN07244160,NKCJ00000000
NRRL25539,Fusarium babinda,babinda,PRJNA485357,SAMN09785229,JABCKA000000000
NRRL31008,Fusarium transvaalense,sambucinum,PRJNA436741,SAMN14842572,JABFFG000000000
NRRL36526,Fusarium setosum,decemcellulare,PRJNA416189,SAMN14842565,JABFFE000000000
NRRL52700,Fusarium sp.,fujikuroi,PRJNA565749,SAMN13683622,JAAQPE000000000
NRRL25184,Fusarium sp.,newnesense,PRJNA416189,SAMN14069565,JABSSZ000000000
NRRL03299,Fusarium sporotrichioides,sambucinum,PRJNA436741,SAMN08631227,PXOF00000000
NRRL22316,Fusarium staphyleae,staphyleae,PRJNA596292,SAMN16366037,JADDON000000000
NRRL20429,Fusarium stilboides,lateritium,PRJNA596286,SAMN14404798,JAASAY000000000
NRRL66333,Fusarium subglutinans,fujikuroi-American,PRJNA565749,SAMN13683616,JAAOAV000000000
NRRL13384,Fusarium sublunatum,buharicum,PRJNA596286,SAMN14842571,JABFFF000000000
NRRL22049,Fusarium thapsinum,fujikuroi-African,PRJNA565749,SAMN13683602,JAAOAX000000000
NRRL54149,Fusarium torreyae,torreyae,PRJNA488083,SAMN14069561,JABEET000000000
NRRL22747,Fusarium torulosum,tricinctum,PRJNA596296,SAMN14884610,JABFMN000000000
NRRL25481,Fusarium tricinctum,tricinctum,PRJNA596296,SAMN13683591,JAALXJ000000000
NRRL66329,Fusarium venenatum,sambucinum,PRJNA436741,SAMN14842574,JABFFH000000000
NRRL13953,Fusarium ventricosum,ventricosum,,,
NRRL25729,Fusarium ventricosum,ventricosum,PRJNA416189,SAMN14842579,JABFFI000000000
NRRL20846,Fusarium ventricosum,ventricosum,,,
NRRL22566,Fusarium verrucosum (astromata),not assigned,PRJNA416189,SAMN14842699,JABFFJ000000000
NRRL20956,Fusarium verticillioides,fujikuroi-African,PRJNA15553,SAMN02953630,AAIM00000000*
NRRL22276,Fusarium virguliforme,solani,,,
NRRL31041,Fusarium virguliforme,solani,PRJNA511036,SAMN13683639,JABEEP000000000
NRRL25486,Fusarium xylarioides,fujikuroi-African,PRJNA565749,SAMN14842701,JABFFK000000000
NRRL62721,Fusarium xyrophilum,fujikuroi-African,PRJNA565749,SAMN12766986,GCA_008711595.1
NRRL66285,Fusarium zanthoxyii,torreyae,PRJNA488083,SAMN14842702,JABFFL000000000
NRRL22465,Fusarium zealandicum,staphyleae,PRJNA596292,SAMN13683635,JABEYC000000000
