ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES
GCA_014822065.1_147676,282272,Fusarium acaciae-mearnsii,NRRL 26754,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium acaciae-mearnsii
GCA_013363215.1_38483,5515,Fusarium acuminatum,F829,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium acuminatum
GCA_012932015.1_114620,78861,Fusarium acutatum,NRRL 13308,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium acutatum
GCA_001654545.1_63438,1803897,Fusarium agapanthi,NRRL 54464,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium agapanthi
GCA_013618265.1_12371,1237067,Fusarium albidum,NRRL 22152,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium albidum
GCA_012931995.1_23241,1237068,Fusarium albosuccineum,NRRL 20459,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium albosuccineum
GCA_002982035.1_49941,2050978,Fusarium algeriense,NRRL 66648,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium algeriense
GCA_003947045.1_121643,131363,Fusarium ambrosium,NRRL 20438,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium ambrosium
GCA_012977745.1_110097,183586,Fusarium anguioides,NRRL 25385,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium anguioides
GCA_013364935.1_124798,48485,Fusarium anthophilum,NRRL 25214,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium anthophilum
GCA_013618295.1_267748,679435,Fusarium armeniacum,NRRL 25141,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium armeniacum
GCA_012932025.1_84818,2364996,Fusarium austroafricanum,NRRL 53441,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium austroafricanum
GCA_000769295.1_4137378,40199,Fusarium avenaceum,FaLH27,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium avenaceum
