Fsp1611	Fusarium_sp._KOD_1611
Fcort1FP	Fusarium_cortaderiae_1FP
Fsp22101	Fusarium_sp._NRRL_22101
Fpoe2516	Fusarium_poae_2516
NRRL_25184	Fusarium_sp._NRRL_25184
NRLL_25303	Fusarium_sp._NRRL_25303
Fsp28FRS	Fusarium_austroamericanum_28FRS
NRLL_29148	Fusarium_sp._NRRL_29148
NRLL_47473	Fusarium_sp._NRRL_47473
NRRL_52700	Fusarium_sp._NRRL_52700
NRLL_53293	Fusarium_sp._NRRL_53293
NRRL_53497	Fusarium_sp._NRRL_53497
NRLL_62610	Fusarium_sp._NRRL_62610
NRRL_62941	Fusarium_sp._NRRL_62941
NRRL_62944	Fusarium_sp._NRRL_62944
NRRL_62957	Fusarium_sp._NRRL_62957
NRRL_66088	Fusarium_sp._NRRL_66088
NRRL_66182	Fusarium_sp._NRRL_66182
NRRL_66894	Fusarium_sp._NRRL_66894
NRRL_66896	Fusarium_sp._NRRL_66896
Fsp682	Fusarium_sp._DS_682
Fvert7600	Fusarium_verticillioides_7600
Fvan77134	Fusarium_vanettenii_77-13-4
FvenA35	Fusarium_venenatum_A3_5
PbuxAR2414	Pseudonectria_buxi_AR2414
ARSEF_2860	Beauveria_bassiana_ARSEF_2860
FtorBV-666	Dactylonectria_torresensis_BV-666
IlyC1	Ilyonectria_destructans_C1
CalCB077	Calonectria_henricotiae_CB077
CBS_101121	Calonectria_naviculata_CBS_101121
CBS_109166	Calonectria_leucothoes_CBS_109166
CBS_119724	Neonectria_punicea_CBS_119724
CBS_137234	Fusarium_fracticaudum_CBS_137234
CBS_139395	Calonectria_pseudonaviculata_CBS_139395
CBS_177.27	Thelonectria_rubi_CBS_177.27
CBS_714.97	Neonectria_hederae_CBS_714.97
CMWF389	Fusarium_temperatum_CMWF389
CMW_25243	Fusarium_pininemorale_CMW_25243
CMW_27249	Calonectria_crousiana_CMW_27249
CMW_27257	Calonectria_fujianensis_CMW_27257
CMW_47496	Calonectria_pseudoturangicola_CMW_47496
CMW_47645	Calonectria_aciculata_CMW_47645
CMW_47669	Calonectria_honghensis_CMW_47669
CS3096	Fusarium_pseudograminearum_CS3096
D25-1	Fusarium_equiseti_D25-1
DAOM_186447	Trichothecium_ovalisporum_DAOM_186447
DAOM_195227	Trichothecium_roseum_DAOM_195227
DAOM_209012	Trichothecium_sympodiale_DAOM_209012
FproET1	Fusarium_proliferatum_ET1
EtdFoc-155	Fusarium_cf._solani_EtdFoc-155
EtdFoc-186	Fusarium_cf._falciforme_EtdFoc-186
EtdFoc-240	Fusarium_cf._aywerte_EtdFoc-240
EthFoc-133	Fusarium_cf._verticillioides_EthFoc-133
EthFoc-23	Fusarium_cf._hostae_EthFoc-23
EthFoc-DSP1	Fusarium_cf._nygamai_EthFoc-DSP1
F02845	Fusarium_udum_F-02845
F4	Fusarium_sambucinum_F-4
F190	Fusarium_sp._190-020-2
F829	Fusarium_acuminatum_F829
FBWC	Fusarium_sp._BWC
FIESC_28	Fusarium_coffeatum_FIESC_28
FJS1	Fusarium_sp._JS1030
FJS6	Fusarium_sp._JS626
FNa1	Fusarium_sp._Na10
FQHM	Fusarium_sp._QHM
FSP_34	Fusarium_circinatum_FSP_34
FSSC_6	Fusarium_metavorans_FSSC_6
FaLH27	Fusarium_avenaceum_FaLH27
Fcer1134NY13	Fusarium_cerealis_Fcer1134NY13
Fl201059	Fusarium_langsethiae_Fl201059
Ftri	Fusarium_tricinctum_
HFEW16IV019	Fusarium_euwallaceae_HFEW-16-IV-019
HJS1936	Microcyclospora_tardicrescens_HJS1936
Hy9	Fusarium_hostae_Hy9
IBT_40837	Trichoderma_arundinaceum_IBT_40837
IBT_40841	Trichoderma_brevicompactum_IBT_40841
IHEM_4405	Xenoacremonium_recifei_IHEM_4405
IHI_201603	Stylonectria_norvegica_IHI_201603
IHI_201604	Cylindrodendrum_hubeiense_IHI_201604
IMI_342667	Corinectria_fuckeliana_IMI_342667
IMI_58289	Fusarium_fujikuroi_IMI_58289
JAC16_16	Coccinonectria_pachysandricola_JAC16-16
JAC18_02	Pseudonectria_foliicola_JAC18-02
JAC_15_245	Dactylonectria_macrodidyma_JAC_15-245
JCM_11502	Fusarium_commune_JCM_11502
FsolJS169	Fusarium_solani_JS-169
KSU18978	Fusarium_xylarioides_KSU18978
MK7	Fusarium_sp._flavolapis_MK7
MRC7560	Fusarium_mangiferae_MRC7560
MRC8546	Fusarium_nygamai_MRC8546
FvinMont1	Fusarium_virguliforme_Mont-1
NeoNB1	Nectria_sp._B-13
NDH2	Neonectria_sp._DH2
NNIBRFG19	Aquanectria_penicillioides_NNIBRFG19
NRRL28723	Fusarium_meridionale_NRRL28723
NRRL6101	Fusarium_asiaticum_NRRL6101
NRRL62579	Fusarium_sp._AF-4_NRRL62579
NRRL62584	Fusarium_sp._AF-8_NRRL62584
NRRL62590	Fusarium_sp._AF-6_NRRL62590
NRRL62606	Fusarium_floridanum_NRRL62606
NRRL_13164	Fusarium_dlaminii_NRRL_13164
NRRL_13298	Fusarium_succisae_NRRL_13298
NRRL_13308	Fusarium_acutatum_NRRL_13308
NRRL_13317	Fusarium_longipes_NRRL_13317
NRRL_13338	Fusarium_nelsonii_NRRL_13338
NRRL_13371	Fusarium_buharicum_NRRL_13371
NRRL_13381	Fusarium_camptoceras_NRRL_13381
NRRL_13384	Fusarium_sublunatum_NRRL_13384
NRRL_13412	Fusarium_decemcellulare_NRRL_13412
NRRL_13444	Fusarium_chlamydosporum_NRRL_13444
NRRL_13459	Fusarium_concolor_NRRL_13459
NRRL_13592	Fusarium_pseudonygamai_NRRL_13592
NRRL_13617	Fusarium_phyllophilum_NRRL_13617
NRRL_13622	Fusarium_lateritium_NRRL_13622
NRRL_13829	Fusarium_compactum_NRRL_13829
NRRL_20429	Fusarium_stilboides_NRRL_20429
NRRL_20438	Fusarium_ambrosium_NRRL_20438
NRRL_20459	Fusarium_albosuccineum_NRRL_20459
NRRL_20472	Fusarium_sarcochroum_NRRL_20472
NRRL_20485	Neonectria_coccinea_NRRL_20485
NRRL_20487	Neonectria_galligena_NRRL_20487
NRRL_20691	Fusarium_dimerum_NRRL_20691
NRRL_20692	Fusarium_graminum_NRRL_20692
NRRL_20693	Fusarium_heterosporum_NRRL_20693
NRRL_20711	Fusarium_penzigii_NRRL_20711
NRRL_2183	Paramyrothecium_roridum_NRRL_2183
